,Unnamed: 0,artistName,trackName,msPlayed,artist_genres,Track Play Count
5087,22233,Muse,Supermassive Black Hole,43380,"['alternative rock', 'modern rock', 'permanent wave', 'rock']",1.0
4399,17982,DaBaby,Masterpiece,181714,"['hip hop', 'north carolina hip hop', 'pop rap', 'rap', 'trap']",1.0
5088,22245,21 Savage,RIP Luv,214192,"['atl hip hop', 'hip hop', 'rap']",1.0
5089,22247,21 Savage,Slidin,20663,"['atl hip hop', 'hip hop', 'rap']",1.0
5091,22252,Future,712PM,15000,"['atl hip hop', 'hip hop', 'rap', 'southern hip hop', 'trap']",1.0
4328,17453,Lil Wayne,I Don't Sleep (ft. Takeoff),200733,"['hip hop', 'new orleans rap', 'pop rap', 'rap', 'trap']",1.0
4329,17454,Lil Wayne,Sights And Silencers (ft. The Dream),60258,"['hip hop', 'new orleans rap', 'pop rap', 'rap', 'trap']",1.0
5071,22145,Galantis,Peanut Butter Jelly,203133,"['dance pop', 'edm', 'pop', 'pop dance']",1.0
5069,22142,Galantis,Runaway (U & I),227073,"['dance pop', 'edm', 'pop', 'pop dance']",1.0
5093,22261,Boldy James,Level Tipping Scales,41803,"['alternative hip hop', 'boom bap', 'drumless hip hop']",1.0
3836,14147,U2,One Tree Hill - Remastered 2007,322373,"['irish rock', 'permanent wave', 'rock']",1.0
5058,22104,Soul Dojo,Zen Way,126041,[],1.0
5059,22107,Salvador,Peaceful Ghost,121561,[],1.0
5060,22109,Aurora 10,Flash,121580,['lo-fi cover'],1.0
4403,17988,DaBaby,Neighborhood Superstar,235582,"['hip hop', 'north carolina hip hop', 'pop rap', 'rap', 'trap']",1.0
5061,22110,Perpetual Machine,raised by a pear,130577,[],1.0
5062,22114,slowvibe,give it a whirl,119594,[],1.0
5063,22120,Vida,Sunday Funday,113980,[],1.0
3841,14156,Michael Jackson,Human Nature,95155,"['r&b', 'soul']",1.0
5064,22124,Dasunny,Daunout,97806,['study beats'],1.0
3839,14151,Michael Jackson,Baby Be Mine,260186,"['r&b', 'soul']",1.0
3838,14149,U2,Mothers Of The Disappeared - Remastered 2007,48606,"['irish rock', 'permanent wave', 'rock']",1.0
5065,22126,Zoe Reed,the clearing,132970,[],1.0
3837,14148,U2,Exit - Remastered 2007,253040,"['irish rock', 'permanent wave', 'rock']",1.0
5066,22128,Cyan_95,rose quartz,116630,[],1.0
4322,17444,Lil Wayne,Mama Mia,225440,"['hip hop', 'new orleans rap', 'pop rap', 'rap', 'trap']",1.0
3835,14146,U2,Trip Through Your Wires - Remastered 2007,211813,"['irish rock', 'permanent wave', 'rock']",1.0
3834,14145,U2,In God's Country - Remastered 2007,176600,"['irish rock', 'permanent wave', 'rock']",1.0
3833,14144,U2,Red Hill Mining Town - Remastered 2007,292866,"['irish rock', 'permanent wave', 'rock']",1.0
3832,14143,U2,Running To Stand Still - Remastered 2007,257186,"['irish rock', 'permanent wave', 'rock']",1.0
3946,15044,Joey Bada$$,World Domination,162761,"['conscious hip hop', 'hip hop', 'rap']",1.0
3830,14141,U2,With Or Without You - Remastered 2007,295520,"['irish rock', 'permanent wave', 'rock']",1.0
3829,14140,U2,I Still Haven't Found What I'm Looking For - Remastered 2007,277480,"['irish rock', 'permanent wave', 'rock']",1.0
5067,22131,Cyber Bloom,Machines,111070,[],1.0
4402,17985,Quality Control,Menace,145188,"['melodic rap', 'trap']",1.0
3827,14138,U2,The Refugee - Remastered 2008,91085,"['irish rock', 'permanent wave', 'rock']",1.0
3826,14137,U2,Drowning Man - Remastered 2008,254586,"['irish rock', 'permanent wave', 'rock']",1.0
4401,17984,Tee Grizzley,First Day Out,254693,"['detroit hip hop', 'detroit trap', 'rap', 'southern hip hop', 'trap']",1.0
5068,22134,Wruce Billis,Lizards and Lattes,23546,[],1.0
5092,22260,MAVI,Sense,66203,"['alternative hip hop', 'chill abstract hip hop', 'indie hip hop']",1.0
