,endTime,artistName,trackName,msPlayed,artist_genres
18032,2023-12-06 05:10,Pinegrove,Need 2,191796,"['countrygaze', 'new jersey indie', 'small room']"
18033,2023-12-06 05:16,Mac Miller,Self Care,345133,"['hip hop', 'pittsburgh rap', 'rap']"
18034,2023-12-06 05:20,Kanye West,I Wonder,243440,"['chicago rap', 'hip hop', 'rap']"
18035,2023-12-06 05:23,Mac Miller,Ayye,165910,"['hip hop', 'pittsburgh rap', 'rap']"
18036,2023-12-06 05:28,Drake,Houstatlantavegas,290791,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']"
18037,2023-12-06 05:32,Kanye West,Ghost Town,271386,"['chicago rap', 'hip hop', 'rap']"
18038,2023-12-06 05:36,Kid Cudi,Soundtrack 2 My Life,235626,"['hip hop', 'ohio hip hop', 'pop rap', 'rap']"
18039,2023-12-06 05:41,Wiz Khalifa,So High (feat. Ghost Loft),249287,"['hip hop', 'pittsburgh rap', 'pop rap', 'rap', 'southern hip hop', 'trap']"
18040,2023-12-06 05:45,Rihanna,Loveeeeeee Song,256320,"['barbadian pop', 'pop', 'urban contemporary']"
18041,2023-12-06 05:49,Kid Cudi,By Design,257053,"['hip hop', 'ohio hip hop', 'pop rap', 'rap']"
18042,2023-12-06 05:53,WZRD,"Teleport 2 Me, Jamie",238400,['psychedelic hip hop']
18043,2023-12-06 05:57,Kavinsky,Nightcall,258413,['filter house']
18044,2023-12-06 06:07,Kanye West,Runaway,547733,"['chicago rap', 'hip hop', 'rap']"
18045,2023-12-06 06:09,Harry Styles,As It Was,167303,['pop']
18046,2023-12-06 06:13,A$AP Rocky,Fashion Killa,236280,"['east coast hip hop', 'hip hop', 'rap', 'trap']"
18047,2023-12-06 06:17,Frank Ocean,Thinkin Bout You,200746,"['lgbtq+ hip hop', 'neo soul']"
18048,2023-12-06 06:20,Kid Cudi,Just What I Am,228026,"['hip hop', 'ohio hip hop', 'pop rap', 'rap']"
18049,2023-12-06 06:26,Frank Ocean,Nights,307151,"['lgbtq+ hip hop', 'neo soul']"
18050,2023-12-06 06:30,Drake,Feel No Ways,240653,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']"
18051,2023-12-06 06:32,Mac Miller,Nikes on My Feet,164631,"['hip hop', 'pittsburgh rap', 'rap']"
18052,2023-12-06 06:38,"Tyler, The Creator",IFHY (feat. Pharrell),319253,"['hip hop', 'rap']"
18053,2023-12-06 06:41,A$AP Rocky,I Come Apart (feat. Florence Welch),217920,"['east coast hip hop', 'hip hop', 'rap', 'trap']"
18054,2023-12-06 06:45,Lil Wayne,Mess,212427,"['hip hop', 'new orleans rap', 'pop rap', 'rap', 'trap']"
18055,2023-12-06 06:49,Frank Ocean,Ivy,249191,"['lgbtq+ hip hop', 'neo soul']"
18056,2023-12-06 06:53,Nirvana,Something In The Way,232146,"['grunge', 'permanent wave', 'rock']"
18057,2023-12-06 06:59,KIDS SEE GHOSTS,Reborn,324674,['rap']
18058,2023-12-06 07:02,Mac Miller,2009,181044,"['hip hop', 'pittsburgh rap', 'rap']"
18059,2023-12-06 09:32,Lil Wayne,Love Me,38028,"['hip hop', 'new orleans rap', 'pop rap', 'rap', 'trap']"
18060,2023-12-06 09:32,Young Thug,Climax (feat. 6lack),23317,"['atl hip hop', 'atl trap', 'gangster rap', 'melodic rap', 'rap', 'trap']"
18061,2023-12-06 09:34,Steve Lacy,Like Me,26605,['afrofuturism']
18062,2023-12-06 09:34,Steve Lacy,Only If,100562,['afrofuturism']
18063,2023-12-06 18:19,Ken Carson,Fighting My Demons,99818,['rage rap']
18064,2023-12-06 18:21,Ken Carson,Jennifer’s Body,158515,['rage rap']
18065,2023-12-06 18:23,Ken Carson,Yale,76419,['rage rap']
18066,2023-12-06 18:25,Destroy Lonely,how u feel?,142485,['rage rap']
18067,2023-12-06 19:48,The Rolling Stones,You Can't Always Get What You Want,448720,"['album rock', 'british invasion', 'classic rock', 'rock']"
18068,2023-12-06 19:55,Led Zeppelin,Ramble On - 1990 Remaster,235746,"['album rock', 'classic rock', 'hard rock', 'rock']"
18069,2023-12-06 23:02,Led Zeppelin,Ramble On - 1990 Remaster,362,"['album rock', 'classic rock', 'hard rock', 'rock']"
18070,2023-12-06 23:09,David Bowie,Starman - 2012 Remaster,254293,"['art rock', 'classic rock', 'glam rock', 'permanent wave', 'rock']"
18071,2023-12-06 23:09,The Rolling Stones,Gimme Shelter,28748,"['album rock', 'british invasion', 'classic rock', 'rock']"
18072,2023-12-06 23:13,Cheap Trick,Surrender,118762,"['album rock', 'beatlesque', 'classic rock', 'glam metal', 'glam rock', 'hard rock', 'heartland rock', 'mellow gold', 'power pop', 'rock', 'soft rock']"
18073,2023-12-07 00:21,Pinegrove,Problems,80489,"['countrygaze', 'new jersey indie', 'small room']"
18074,2023-12-07 00:24,Whirr,Before You Head Off,172749,"['american shoegaze', 'dreamgaze', 'dreamo', 'grungegaze', 'indie shoegaze', 'nu gaze', 'shoegaze']"
18075,2023-12-07 00:25,Modern Baseball,The Weekend,48191,"['alternative emo', 'emo', 'philly indie', 'pov: indie']"
18076,2023-12-07 00:27,ThxSoMch,SPIT IN MY FACE!,147874,['bedroom r&b']
18077,2023-12-07 00:30,Tanukichan,Hunned Bandz,168320,['oakland indie']
18078,2023-12-07 00:34,Wolf Alice,Smile,196800,"['indie rock', 'modern alternative rock', 'modern rock']"
18079,2023-12-07 00:39,Car Seat Headrest,Sober to Death,304427,"['furry', 'indie rock', 'pov: indie']"
18080,2023-12-07 00:42,Deftones,My Own Summer (Shove It),214760,"['alternative metal', 'nu metal', 'rap metal', 'rock', 'sacramento indie']"
18081,2023-12-07 00:46,Fiona Apple,A Mistake,205424,"['art pop', 'chamber pop', 'dark pop', 'lilith', 'permanent wave', 'piano rock', 'singer-songwriter']"
18082,2023-12-07 00:49,Pinegrove,Need 2,191796,"['countrygaze', 'new jersey indie', 'small room']"
18083,2023-12-07 00:51,Interpol,All the Rage Back Home,91009,"['alternative dance', 'alternative rock', 'indie rock', 'indietronica', 'modern rock', 'rock']"
18084,2023-12-07 01:13,Modern Baseball,It's Cold Out Here,13281,"['alternative emo', 'emo', 'philly indie', 'pov: indie']"
