,artistName,trackName,msPlayed,artist_genres
13689,Kendrick Lamar,BLOOD.,118066,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']"
13690,Kendrick Lamar,DNA.,185946,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']"
13691,Kendrick Lamar,YAH.,160293,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']"
13692,Kendrick Lamar,ELEMENT.,208733,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']"
13693,Kendrick Lamar,FEEL.,214826,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']"
13694,Kendrick Lamar,LOYALTY. FEAT. RIHANNA.,227360,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']"
13695,Kendrick Lamar,PRIDE.,275253,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']"
13696,Kendrick Lamar,HUMBLE.,177000,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']"
13697,Kendrick Lamar,LUST.,307880,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']"
13698,Kendrick Lamar,LOVE. FEAT. ZACARI.,213400,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']"
13699,Kendrick Lamar,XXX. FEAT. U2.,254200,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']"
13700,Kendrick Lamar,FEAR.,460573,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']"
