,Unnamed: 0,trackName,Artist,msPlayed,artist_genres,Track Play Count
3895,3895,Stop This Train,John Mayer,285133,"['neo mellow', 'singer-songwriter']",5
3893,3893,Breezeblocks,alt-J,227084,"['indie rock', 'indietronica', 'modern alternative rock', 'modern rock', 'rock']",5
4923,4923,Gonna Wanna Tonight,Chase Rice,214950,"['contemporary country', 'country', 'country road', 'modern country rock']",5
6044,6044,Kiss Tomorrow Goodbye,Luke Bryan,203133,"['contemporary country', 'country', 'country road', 'modern country rock']",5
2060,2060,bury a friend,Billie Eilish,193149,"['art pop', 'pop']",5
757,757,Own It,Drake,251738,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",5
872,872,Unforgettable,Thomas Rhett,157563,"['contemporary country', 'country', 'country road', 'modern country rock']",5
762,762,The Language,Drake,224390,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",5
844,844,Tunnel Vision,Kodak Black,268187,"['florida drill', 'florida rap', 'melodic rap', 'miami hip hop', 'rap', 'trap', 'trap latino']",5
2035,2035,7 rings,Ariana Grande,178631,['pop'],5
4869,4869,Once a Day,Mac Miller,160267,"['hip hop', 'pittsburgh rap', 'rap']",5
6115,6115,OG Beeper,A$AP Rocky,155886,"['east coast hip hop', 'hip hop', 'rap', 'trap']",5
4902,4902,Without You (feat. Usher),David Guetta,208133,"['big room', 'dance pop', 'edm', 'pop', 'pop dance']",5
6105,6105,The Outskirts,Zach Bryan,198121,['classic oklahoma country'],5
838,838,Paramedic!,SOB X RBE,219311,[],5
4872,4872,That's on Me,Mac Miller,217868,"['hip hop', 'pittsburgh rap', 'rap']",5
824,824,I Like Me Better,Lauv,197437,['pop'],5
773,773,Wonder If You Wonder,Witt Lowry,235265,"['deep underground hip hop', 'indie pop rap']",5
779,779,Hold Back the River,James Bay,239626,"['neo mellow', 'pop', 'uk pop']",5
3192,3192,Wedding Crashers (feat. Offset),Aminé,229800,"['pop rap', 'portland hip hop', 'rap', 'underground hip hop']",5
3200,3200,Picture,mike.,154311,"['indie pop rap', 'rhode island rap']",5
4890,4890,Commander In Chief,Demi Lovato,194746,"['pop', 'post-teen pop']",5
2819,2819,Acid Rain,Thomston,189615,"['etherpop', 'indie electropop', 'indie poptimism']",5
801,801,the remedy for a broken heart (why am I so in love),XXXTENTACION,160184,"['emo rap', 'miami hip hop', 'rap']",5
4942,4942,Bandaid on a Bullet Hole (Bonus),Morgan Wallen,234333,['contemporary country'],5
4947,4947,ROS,Mac Miller,343217,"['hip hop', 'pittsburgh rap', 'rap']",5
5988,5988,Again,Fetty Wap,312240,"['new jersey rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",5
5979,5979,Why,Dominic Fike,139907,"['alternative pop rock', 'pov: indie']",5
999,999,This Could Be Us,Rae Sremmurd,206360,"['melodic rap', 'mississippi hip hop', 'pop rap', 'rap', 'trap']",5
997,997,Yeah! (feat. Lil Jon & Ludacris),USHER,250373,"['atl hip hop', 'contemporary r&b', 'dance pop', 'pop', 'r&b', 'rap', 'south carolina hip hop', 'urban contemporary']",5
5989,5989,You Make Me Feel... (feat. Sabi),Cobra Starship,215693,"['neon pop punk', 'pop punk', 'post-teen pop']",5
2011,2011,Va Va Voom,Nicki Minaj,183560,"['hip pop', 'pop', 'queens hip hop', 'rap']",5
6020,6020,Cinema,Harry Styles,243508,['pop'],5
741,741,Crazy,Shawn Mendes,191791,"['canadian pop', 'pop', 'viral pop']",5
6196,6196,Rambo (Last Blood) [feat. The Weeknd],Bryson Tiller,228980,"['kentucky hip hop', 'r&b', 'rap']",4
4456,4456,sobbing in cabo,blackbear,187024,['pop'],4
5298,5298,Epidemic,Polo G,177273,"['chicago rap', 'rap']",4
4800,4800,MAYBE,The Kid LAROI,174182,['australian hip hop'],4
5558,5558,It Just Doesn’t Matter,Mac Miller,216702,"['hip hop', 'pittsburgh rap', 'rap']",4
4449,4449,me & ur ghost,blackbear,201398,['pop'],4
4131,4131,Elephant in the Room,6LACK,214039,"['atl hip hop', 'melodic rap', 'r&b', 'rap', 'trap']",4
4447,4447,I feel bad,blackbear,175066,['pop'],4
